Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Parts_Per_Hour
206.22,125.38,34.629,15.748,305.66,24.38,13.83,113.7,137.34,28
246.55,92.07,17.401,12.829,240.27,22.59,14.3,107.7,82.51,90
231.24,141.07,22.27,13.663,116.71,27.64,1.06,29.0,56.07,102
221.91,122.92,38.21,16.601,375.55,20.19,5.44,32.3,123.17,23
190.92,91.0,30.861,18.516,394.1,23.88,12.72,117.8,148.05,27
190.92,147.36,42.839,11.267,229.31,25.0,8.51,29.2,50.92,33
184.07,116.29,27.863,12.105,284.1,26.26,12.31,114.5,59.88,45
240.63,85.1,41.094,19.169,235.09,22.07,12.95,78.3,128.06,26
222.08,123.88,28.469,14.942,196.56,24.87,7.2,7.0,193.04,48
229.57,97.72,44.377,10.148,123.2,21.03,6.03,41.0,42.77,42
181.44,136.26,43.795,15.964,236.82,22.35,7.38,57.7,130.85,26
247.89,137.25,24.874,19.889,345.52,26.96,10.14,100.1,181.32,46
238.27,148.53,41.578,17.881,105.11,27.5,6.14,40.1,92.39,41
194.86,115.13,40.428,16.949,274.63,25.19,11.85,38.0,63.37,27
192.73,111.85,21.32,10.497,364.23,21.74,13.66,110.5,133.37,58
192.84,132.74,33.729,18.514,165.26,26.2,4.95,10.4,6.29,33
201.3,89.27,17.18,14.309,154.98,18.26,14.51,66.6,72.03,69
216.73,118.28,40.101,18.671,331.68,19.03,9.72,61.0,51.59,17
210.24,118.24,20.236,11.958,176.53,24.61,13.29,7.8,44.92,79
200.39,86.26,17.124,8.745,157.6,20.91,2.45,11.4,35.95,96
222.83,109.26,27.007,13.712,213.4,27.51,4.52,46.5,147.41,46
189.76,139.73,32.308,11.238,217.75,22.36,5.49,17.0,191.02,42
200.45,139.93,40.648,16.583,362.23,22.29,5.24,57.9,76.95,26
205.65,86.95,44.227,19.485,285.53,24.78,3.41,73.5,9.82,11
211.92,86.35,28.185,16.292,221.79,25.68,13.15,83.3,143.78,35
234.96,98.39,16.813,18.643,260.32,22.76,6.86,66.0,107.64,49
193.98,141.23,37.473,13.436,386.19,20.14,14.48,46.2,144.73,30
216.0,89.02,31.955,17.26,133.96,25.73,9.17,16.4,129.58,32
221.47,130.4,28.437,18.117,162.31,21.2,2.94,30.5,181.09,50
183.25,87.08,24.278,16.531,388.76,19.75,8.64,50.9,28.09,31
222.53,123.62,30.072,14.093,387.2,24.32,14.91,111.0,33.83,34
191.94,104.92,25.16,15.51,153.15,18.9,8.91,25.1,68.31,45
184.55,135.22,37.71,16.406,143.53,27.71,1.03,50.2,98.28,31
246.42,96.36,31.317,11.037,226.33,24.32,14.06,88.1,185.14,57
247.59,124.74,41.305,17.715,114.92,27.86,4.29,84.9,181.39,38
236.59,96.5,31.306,19.404,296.47,21.39,10.64,115.9,174.37,33
